UserID,Gender,Age,WorkoutType,CaloriesBurned,EngagementScore,City,SubscriptionType
U001,Male,24,Cardio,450,7.8,Mumbai,Free
U002,Female,30,Strength,520,8.4,Delhi,Premium
U003,Male,28,Yoga,,7.0,Bangalore,Free
U004,Female,26,Cardio,600,,Mumbai,Premium
U005,Female,35,Strength,610,9.2,Delhi,Premium
U006,Male,32,,480,6.4,Kolkata,Free
U007,,27,Yoga,390,7.5,Delhi,Free
U008,Female,29,Strength,580,8.8,,Premium
U009,Male,31,Cardio,550,7.9,Chennai,Free
U010,Female,30,Cardio,,6.8,Delhi,Premium
U011,Male,33,Yoga,420,8.2,Bangalore,Free
U012,Female,26,Strength,610,9.0,Delhi,Premium
U013,Male,30,Cardio,570,8.1,Delhi,Premium
U014,Female,34,Strength,630,9.3,Mumbai,Free
U015,Male,29,Yoga,410,6.9,Chennai,Premium
U016,Female,32,Cardio,520,8.0,Bangalore,Premium
U017,Male,25,Strength,580,8.6,Delhi,Premium
U018,Female,31,,610,,Kolkata,Free
U019,Male,28,Yoga,400,7.1,Delhi,Free
U020,Female,27,Cardio,560,8.2,Mumbai,Premium
U021,Female,26,Yoga,,6.5,Bangalore,Free
U022,Male,35,Strength,620,9.1,Chennai,Premium
U023,Female,33,Cardio,510,7.6,Delhi,Free
U024,Male,29,Cardio,530,8.0,Delhi,Premium
U025,Female,31,Yoga,390,7.3,Chennai,Free
U026,Male,30,Strength,,8.4,Mumbai,Premium
U027,Female,34,Cardio,550,8.1,Kolkata,Free
U028,Male,28,Yoga,420,7.8,Delhi,Premium
U029,Female,30,Strength,600,9.0,Delhi,Premium
U030,Male,26,,490,6.7,Mumbai,Free
U031,Female,35,Cardio,610,9.2,Delhi,Premium
U032,Male,33,Yoga,400,6.9,Bangalore,Free
U033,Female,32,Strength,590,8.7,Chennai,Premium
U034,Male,30,Cardio,540,8.0,Delhi,Premium
U035,Female,28,Yoga,410,7.0,Mumbai,Free
U036,Male,27,Strength,600,9.1,Chennai,Premium
U037,Female,29,Yoga,430,7.4,Kolkata,Free
U038,Female,30,Cardio,520,7.9,Delhi,Premium
U039,Male,31,Yoga,410,6.6,Chennai,Free
U040,Female,33,Strength,620,9.3,Bangalore,Premium
U041,Male,26,Cardio,580,8.5,Mumbai,Free
U042,Female,32,Yoga,390,7.2,Delhi,Premium
U043,Male,29,Strength,610,9.0,Bangalore,Premium
U044,Male,30,Strength,610,9.0,Bangalore,Premium
U045,Female,30,Yoga,400,6.8,Kolkata,Free
U046,Female,26,Cardio,530,7.9,Chennai,Free
U047,Male,27,Yoga,420,7.3,Bangalore,Premium
U048,Female,31,Strength,620,8.9,Mumbai,Premium
U049,Female,30,Cardio,570,8.4,Delhi,Free
U050,Female,30,Cardio,570,8.4,Delhi,Free
